asset_id,dev_eui,join_eui,app_key
UNIT-0001,464C58FBE3BD14C6,0AD4489AAD2A7E41,49E63DD6B16BF21554D259FB6C689A90
UNIT-0002,464C5860E29B67E5,4AA0AEB06AA69E75,8B930905514C1641F1E8E8503FA78E88
UNIT-0003,464C58AF098A4488,F66BA61417F3E7F0,B975730ED2E12ACF2357AEE3F7EB9C78
UNIT-0004,464C5884D5A749A1,5E44CE6B179CB4F2,2DC129F1E637E43FB95B587FE145711D
UNIT-0005,464C5890D37F8B8B,BE96DC431014352C,FFE7BB78965FE1EC45DA0688725B7B7E
UNIT-0006,464C58A1A357D929,C69206A8CFBE3218,8B2C0B337D94899FDCE30600C2FF0A6D
UNIT-0007,464C582C7B3EBEEB,66C28833777DBE0E,3DE54F88B18A70E5902AC228581DAC47
UNIT-0008,464C58BDD9B524CE,56F8EE554759097C,B4D359A4E17E0F8635653B60A6870CA1
UNIT-0009,464C58478BC3756B,52889746D9675698,B297454A3C43ACC93BDEA812212AD354
UNIT-0010,464C5888EB9AB1E9,A20D0306E1B1ADE8,D86E9A5A718D75A9570C5774EFA6C240
UNIT-0011,464C58DB49AC114B,6EDD37B4BB684772,9A47898406FECDFDBF042AF7BE6BE8F9
UNIT-0012,464C58BED2E2F1EC,B6668CEBC230C211,F0770207FCC11E51AF81F5E0C2DF0CF2
UNIT-0013,464C58C9E98AE185,36342D35BF7305CC,E0C6A2552BA5D3D9F0DFE1D0CB8BC276
UNIT-0014,464C58219E52E793,CE3AA09E54062CC8,A2989B687B8DD714A4C9652A43AD1EE4
UNIT-0015,464C5822B3FB30CA,A6052BA7B1EF26E5,0EE60EE287599626192C7459BCA5E35A
UNIT-0016,464C581DE88AEA4C,9E2ACE6E4890E806,68B0D9CFDED67A13E185D6E0086AFB25
UNIT-0017,464C58D9E248B830,2ECE5B9E166B4353,7307D5B6D7EDD28B98A8C2D681BBAB78
UNIT-0018,464C582B9BDBCC5F,B6CCB7FD50CA4F5E,B5ED849F3BA97E358D42E74FFEE6F80B
UNIT-0019,464C583EA006FF75,FAC0CA3325401F1C,D15BDD745AE4FE8B45DA771F4D63D708
UNIT-0020,464C585DCF662384,124ECD171A806077,BFACAD41099CB7D475E0898911554661
UNIT-0021,464C5836DA5420AE,6281959496C8E2E1,64C40E40EB8461993968C37C1ACD6025
UNIT-0022,464C58674EE6DD52,9683B5B30E05A66F,16FD996F0AFDCC0D8ECBDCFFEC8385C6
UNIT-0023,464C58A1A0E5F392,663CF789C6991BB7,A01055B48EC1801FD337CBDDDB46E047
UNIT-0024,464C580BCE044FFA,BE187E517E66D2DB,0BDFA0F5CDB520AE839444DD11F38C17
UNIT-0025,464C587B6145AFCA,7A8AD6C6124D28CE,B61DFB84AC93553C6B7F9C71D58E24B1
UNIT-0026,464C5805815B38D8,8E9CE977CE231176,629255B2C832A2B08FF70524084C6E70
UNIT-0027,464C588F6C834797,4ACF2A88226F411A,5DC75C040664E5B31DF8208299B77283
UNIT-0028,464C583BBD6B4EE6,8EC49F7E3AAAC824,8ED8763240D3D7C3FD87F9CDE7AD706F
UNIT-0029,464C58246D94EFDF,C2E81E7AC32EE9A3,A6F81C44433D62A0CF0C4D33D158DFCF
UNIT-0030,464C587A996D3868,02A71B5546DB6408,AE33A4BB9B8549DDC858FDA4B8EE13FD
